question_id,prompt_strategy,model,model_answer,raw_response,response_time,tokens_used,timestamp,correct_answer,score,result_id,question_text,prompt,full_model_output
MIR-2024-v01-t01-Q027,Prompt-001,o3-mini-2025-01-31,C,C,4.820611000061035,146,2025-03-26T22:24:46.344224,C,3,MIR-2024-v01-t01-Q027-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q029,Prompt-001,o3-mini-2025-01-31,D,D,3.0493292808532715,197,2025-03-26T22:24:49.894770,D,3,MIR-2024-v01-t01-Q029-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q030,Prompt-001,o3-mini-2025-01-31,B,B,6.443737745285034,265,2025-03-26T22:24:56.839540,B,3,MIR-2024-v01-t01-Q030-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q031,Prompt-001,o3-mini-2025-01-31,D,D,3.097322940826416,232,2025-03-26T22:25:00.438236,D,3,MIR-2024-v01-t01-Q031-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q032,Prompt-001,o3-mini-2025-01-31,A,A,2.254538059234619,179,2025-03-26T22:25:03.193768,A,3,MIR-2024-v01-t01-Q032-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q027,Prompt-001,claude-3-7-sonnet-20250219,D,D,0.6517758369445801,146,2025-03-26T22:39:40.186846,C,-1,MIR-2024-v01-t01-Q027-RespD-CorrectC-Score-1,,,
MIR-2024-v01-t01-Q029,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.2901320457458496,197,2025-03-26T22:39:41.977951,D,3,MIR-2024-v01-t01-Q029-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q030,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.212954044342041,265,2025-03-26T22:39:43.691850,B,3,MIR-2024-v01-t01-Q030-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q031,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.090824842453003,232,2025-03-26T22:39:45.283673,D,3,MIR-2024-v01-t01-Q031-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q032,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.7867136001586914,179,2025-03-26T22:39:47.571363,A,3,MIR-2024-v01-t01-Q032-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q033,Prompt-001,claude-3-7-sonnet-20250219,D,D,0.6147663593292236,157,2025-03-26T22:39:48.687039,D,3,MIR-2024-v01-t01-Q033-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q034,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.6552379131317139,193,2025-03-26T22:39:50.843191,D,3,MIR-2024-v01-t01-Q034-RespD-CorrectD-Score+3,,,
